order,time,titelGerman,titelEnglish,textGerman,textEnglish
1,05:30,Vigil,Vigil,"“Bleibt hier und wacht”, fordert Jesus seine Jünger auf. Dieser Aufforderung wollen wir Mönche Folge leisten, wenn wir uns früh – wenn andere vielleicht noch schlafen – erheben für die Vigil, was übersetzt “Wache” bedeutet. Gegen Ende der Nacht soll auf diese Weise durch unsern Mund das Wort Gottes ertönen – das Wort, durch das die Welt wurde und das alles nun erwachende Leben trägt.","""Stay here and keep watch,"" Jesus calls upon his disciples. We monks seek to follow this call when we rise early—while others may still be asleep—for the Vigil, which means ""watch."" Towards the end of the night, in this way, the Word of God resounds through our mouths—the Word through which the world was created and which sustains all life now awakening."
2,,Frühstück und Betrachtung,Breakfast and Meditation,"Nach der Vigil dürfen die Mönche für leibliche Bedürfnisse hinausgehen, schreibt der hl. Benedikt in seiner Regel. Nebst der morgendlichen Toilette gehört dazu auch die leibliche Stärkung für den nun angebrochenen Tag.

Weil aber der Mensch nicht nur Leib, sondern auch Seele und Geist, ja alles dieses zusammen ist, brauchen auch Letztere eine ihnen gemässe Nahrung. Der Mensch lebt eben nicht nur vom (Frühstücks-)Brot allein. In der morgendlichen Betrachtung stellt sich der einzelne Mönch ganz persönlich dem Worte Gottes in der Bibel. Er bleibt und wacht, auch wenn Gott scheinbar nicht spricht.","""After the Vigil, the monks may go out to attend to their bodily needs,"" writes St. Benedict in his Rule. In addition to morning hygiene, this also includes physical nourishment for the day that has now begun.

However, since a person is not only body but also soul and spirit—all of these together—these, too, require proper nourishment. After all, man does not live by (breakfast) bread alone. During morning meditation, each monk personally engages with the Word of God in the Bible. He stays and keeps watch, even when God seemingly remains silent."
3,07:15,Laudes,Laudes,"Etwas später am Morgen versammeln sich die Mönche wiederum zum gemeinsamen Gebet im Chor der Kirche. Laudes – Gott loben im Gedenken an die Auferstehung, an das Aufbrechen des Lichtes aus der Finsternis des Todes, der kein Anrecht mehr auf uns hat.","A little later in the morning, the monks gather once again for communal prayer in the church choir. Lauds – praising God in remembrance of the Resurrection, the breaking of light from the darkness of death, which no longer has any claim over us."
4,,Arbeitszeit,Work Time,"Gestärkt an Leib und Seele steht der Mönch bereit für sein Tagewerk, je nach Verantwortlichkeit und Aufgabe des Einzelnen. Je mehr sein Innerstes durchdrungen ist von Gottes Wort, desto mehr wird es auch das Tun seiner Hände und das Sprechen seines Mundes sein.","Strengthened in body and soul, the monk is ready for his daily work, according to his individual responsibilities and tasks. The more his inner being is permeated by God's Word, the more it will also shape the work of his hands and the words of his mouth."
5,11:15,Konventamt und Mittagsgebet,Convent Mass and Midday Prayer,"Wenn das Zeichen zum Gottesdienst gegeben wird, lasse der Mönch alles stehen und liegen und eile zu dieser Versammlung – so mahnt Benedikt in seiner Regel. In der täglichen Feier der Eucharistie vollzieht der Konvent der Mönche sein zentralstes Amt und wird so erst eigentlich zu Kirche, die sich von Christus selbst rufen lässt. Das anschliessende Mittagsgebet lädt ein, dieses Geheimnis zu betrachten und sich selbst dankbar als Teil davon zu verstehen.","""When the signal for the service is given, the monk should leave everything behind and hasten to this gathering,"" Benedict admonishes in his Rule. In the daily celebration of the Eucharist, the monastic community fulfills its most central duty and thus truly becomes the Church, called together by Christ Himself. The subsequent midday prayer invites reflection on this mystery and a grateful recognition of oneself as part of it."
6,12:15,Mittagessen und Rekreation,Lunch and Recreation,"Das gemeinsame Mahl der Getauften ist immer mehr als blosse Nahrungsaufnahme. Oft wird in der Heiligen Schrift das Leben im Himmel mit einem Festmahl verglichen. Das gemeinsame Mahl ist Bild und Vorgeschmack auf dieses Festmahl. Es macht uns bewusst, wo unsere eigentliche Heimat ist. Eine geeignete Lektüre soll uns dafür sensibilisieren. Sie wird während des Mahls von einem Lektor vorgetragen, während die Mönche schweigend essen und sich für die Wiederaufnahme der täglichen Arbeit am Nachmittag stärken.","The shared meal of the baptized is always more than mere nourishment. In the Holy Scriptures, life in heaven is often compared to a feast. The communal meal serves as both an image and a foretaste of this heavenly banquet, reminding us where our true home lies. A suitable reading is chosen to deepen this awareness, recited by a lector while the monks eat in silence, strengthening themselves for the resumption of their daily work in the afternoon."
7,16:30,Vesper und Salve Regina,Vesper and Salve Regina,"Die Vesper – das Abendgebet der Kirche – wird in der Regel um 18 Uhr herum gebetet. Damit aber die Menschen, die nach Einsiedeln pilgern, sich diesem Gebet anschliessen können, beten wir die Vesper etwas früher. Die Betenden dürfen so erfahren: Christus ist das Licht, das bleibt, auch wenn es Abend und damit wieder dunkel wird. Trägst du dieses Licht in dir, brauchst du dich nicht zu fürchten vor dem Dunkel der Nacht.","Vespers—the evening prayer of the Church—is usually prayed around 6 p.m. However, to allow the pilgrims who come to Einsiedeln to join in this prayer, we pray Vespers a little earlier. In doing so, those who pray can experience: Christ is the light that remains, even as evening falls and darkness returns. If you carry this light within you, there is no need to fear the darkness of the night."
8,,Geistliche Lesung,Spiritual Reading,"Gott zu begegnen ist Befreiung und Herausforderung zugleich. Man muss gehen, ohne das Ziel genau berechnen zu können. Ein GPS hilft uns da auch nicht weiter. Dennoch greifen wir auf ein «Navigationssystem» zurück: Nebst dem Wort Gottes ist es die Erfahrung all jener, die den Weg des Glaubens vor uns gegangen sind, und von denen wir wissen: Sie haben ihr Ziel erreicht.","Encountering God is both a liberation and a challenge. One must embark on the journey without being able to calculate the exact destination. A GPS won’t help us here. Yet, we rely on a different kind of ""navigation system"": alongside God's Word, we draw from the experience of all those who have walked the path of faith before us—those whom we know have reached their destination."
9,18:30,Abendessen und Rekreation,Dinner and Recreation,"Nach dem Abendessen bleibt Zeit für eine Rekreation – eine Zeit der Erholung und Entspannung: Im mitbrüderlichen Austausch, bei der Zeitungslektüre im Lesezimmer, bei persönlicher Lektüre im Garten oder in der Mönchszelle oder mit einem Besuch bei den Mitbrüdern in der Pflegeabteilung.","After dinner, there is time for recreation—a period of rest and relaxation: through fraternal conversation, reading the newspaper in the reading room, personal reading in the garden or in the monk's cell, or visiting fellow brothers in the care unit."
10,19:15,"Totengedenken, geistliche Lesung und Komplet","Commemoration of the Deceased, Spiritual Reading, and Compline","Beim Läuten der Glocken versammeln sich die Mönche ein letztes Mal. Treffpunkt ist diesmal der Kapitelssaal – ein Gemeinschaftsraum innerhalb des Klosters. Wir gedenken dabei aller verstorbenen Mönche, die an diesem Ort ihren Weg gegangen sind. Anschliessend hören wir einen kurzen geistlichen Impuls und ziehen dann gemeinsam in die Kirche für das Nachtgebet: Wir legen unser Leben und das, was es am Tag hervorgebracht hat, in die Hand dessen, aus dem alles Leben hervorgeht. Auch bitten wir um eine ruhige Nacht und ein gutes Ende, sollte es denn so weit sein, dass wir unsere Augen in dieser Welt nicht mehr öffnen.","At the sound of the bells, the monks gather one last time. This time, the meeting place is the chapter hall—a communal space within the monastery. Here, we remember all the deceased monks who walked their path in this place.

Afterward, we receive a brief spiritual reflection before proceeding together to the church for the night prayer. In Compline, we entrust our lives and all that the day has brought into the hands of the One from whom all life originates. We also pray for a peaceful night and a good end, should the time come when we no longer open our eyes in this world."
